scope,dataset,model,method,k,rows,scored_rows,hit,recall,mrr,qrel_status,qrel_exists_fraction,duplicate_keys,missing_idx,empty_retrieval,short_rows,rows_without_gold,path,qrel_report,source_csv
cache,casehold,model_invariant,golden_plus_neighbors,1,3600,3600,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,casehold,model_invariant,golden_plus_neighbors,3,3600,3600,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,casehold,model_invariant,golden_plus_neighbors,5,3600,3600,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,casehold,model_invariant,golden_plus_neighbors,10,3600,3600,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,casehold,model_invariant,rag_simple,1,3600,3600,0.06055555555555556,0.06055555555555556,0.06055555555555556,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,casehold,model_invariant,rag_simple,3,3600,3600,0.13083333333333333,0.13083333333333333,0.09046296296296297,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,casehold,model_invariant,rag_simple,5,3600,3600,0.17944444444444443,0.17944444444444443,0.10150462962962964,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,casehold,model_invariant,rag_simple,10,3600,3600,0.2638888888888889,0.2638888888888889,0.11253582451499118,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_qfull_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt,docs/generated/retrieval_cache_matrix.csv
cache,legalbench_scalr,gemma4-26b,rag_hyde,1,50,50,0.58,0.58,0.58,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt,docs/generated/retrieval_cache_matrix_gemma4-26b_generated.csv
cache,legalbench_scalr,gemma4-26b,rag_hyde,3,50,50,0.7,0.7,0.6366666666666666,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt,docs/generated/retrieval_cache_matrix_gemma4-26b_generated.csv
cache,legalbench_scalr,gemma4-26b,rag_hyde,5,50,50,0.74,0.74,0.6446666666666667,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt,docs/generated/retrieval_cache_matrix_gemma4-26b_generated.csv
cache,legalbench_scalr,gemma4-26b,rag_hyde,10,50,50,0.84,0.84,0.6565000000000001,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt,docs/generated/retrieval_cache_matrix_gemma4-26b_generated.csv
cache,legalbench_scalr,gemma4-26b,snap_hyre,1,50,50,0.52,0.52,0.52,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt,docs/generated/retrieval_cache_matrix_gemma4-26b_generated.csv
